timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,,,
2.22906E+11,1,-2,-2,-1,-2,-2,0,-1,197,,
2.22906E+11,1,1,-2,-1,-2,0,-1,1,198,,
2.22906E+11,-2,-1,-1,0,0,0,0,-5,199,,
2.22906E+11,0,1,3,1,0,-1,-3,-1,200,,
2.22906E+11,-2,-4,-2,-1,-3,-2,-2,-3,201,,
2.22906E+11,-1,1,-2,-2,2,-1,0,-1,202,,
2.22906E+11,1,1,-3,-2,-2,-1,0,2,203,,
2.22906E+11,0,0,-2,-3,0,-1,0,-2,204,,
2.22906E+11,-4,-7,-3,-1,-1,0,-3,1,205,,
2.22906E+11,0,1,-1,0,-1,1,-1,0,206,,
2.22906E+11,2,2,1,-1,0,0,0,0,207,,
2.22906E+11,-6,-3,-2,0,0,-1,-1,-4,208,,
2.22906E+11,-1,2,0,0,1,-3,-2,2,209,,
2.22906E+11,-1,-2,-1,-1,-2,-2,-1,-2,210,,
2.22906E+11,-2,-2,0,-1,-1,-1,-1,-1,211,,
2.22906E+11,1,2,0,-1,-1,0,-1,0,212,,
2.22906E+11,1,1,-1,0,1,-1,1,-2,213,,
2.22906E+11,-3,0,-2,-2,-2,-2,1,-2,214,,
2.22906E+11,-1,-3,-3,-1,-1,-1,-2,0,215,,
2.22906E+11,0,-2,-2,-1,1,-1,1,1,216,,
2.22906E+11,1,0,-2,-2,-2,-1,0,1,217,,
2.22906E+11,0,1,0,0,-1,-1,1,0,218,,
2.22906E+11,-1,-3,-2,-1,-2,-1,-1,1,219,,
2.22906E+11,-1,1,-1,-1,-1,-1,-1,0,220,,
2.22906E+11,-1,0,-2,-2,0,0,-2,-3,221,,
2.22906E+11,2,1,-1,-3,-2,-1,1,0,222,,
2.22906E+11,-1,-4,-1,-1,-1,-2,0,0,223,,
2.22906E+11,-2,-5,-1,0,-1,0,-2,0,224,,
2.22906E+11,1,1,1,-3,0,1,2,3,225,,
2.22906E+11,0,3,-1,-1,0,-1,-1,-2,226,,
2.22906E+11,-1,4,-1,0,-1,-1,0,-2,227,,
2.22906E+11,-6,-6,-3,-1,-1,-3,-1,-1,228,,
