timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
222717588744,-33,14,-5,-24,-28,-70,-92,-101
222717597634,-25,-27,-11,-15,-14,9,54,17
222717597634,14,3,-19,-11,13,-9,30,16
222717611315,60,-17,28,43,26,41,-23,84
222717611315,2,53,-1,-3,3,-1,59,1
222717620096,-24,-39,25,14,-5,-5,-4,33
222717620096,-21,-21,-15,-20,-15,-24,-120,-26
222717634288,20,-3,-7,-5,0,-2,-14,-20
222717634288,-6,50,8,4,18,43,76,87
222717641160,13,-29,-9,3,6,-4,-37,1
222717641160,57,-4,26,20,13,39,79,65
222717665101,12,5,8,16,34,46,80,19
222717665101,-18,26,-3,-9,-21,-74,-93,-89
222717666741,-8,2,-7,-16,-42,-25,30,4
222717666741,17,40,13,8,5,-14,-47,-25
222717671090,-9,-76,-42,-39,-57,-30,-32,-11
222717671090,26,37,31,25,28,52,89,66
222717687615,13,102,27,-5,5,-5,-72,-85
222717687615,-58,-64,-34,-23,-7,-9,-19,-65
222717694314,22,16,2,8,21,13,25,3
222717694314,-43,-32,-10,2,-14,-5,60,-21
222717701272,51,16,33,19,6,-4,-38,42
222717701272,21,-1,0,-1,4,18,-67,72
222717717591,-33,70,23,3,-3,-10,-99,-4
222717717591,-7,-97,-38,-13,-8,-22,-32,24
222717719221,-23,51,-10,-17,-17,-17,-21,-34
222717719221,41,-6,-21,-20,-40,-73,-10,29
222717740100,-3,6,55,33,10,38,92,26
222717740100,-52,-22,-32,-30,-5,-12,-20,-42
222717741557,17,8,7,9,13,-5,32,100
222717741557,-6,28,-5,7,23,-30,-15,17
222717755004,0,-11,-21,-51,-104,-10,-18,-10
222717755004,6,8,-2,-7,-8,37,119,9
222717756597,-19,-17,-26,-26,-27,-59,-42,-110
222717756597,-21,27,47,18,31,37,1,-20
222717777490,-20,-77,-40,11,22,-30,-17,-100
222717777490,32,73,-11,7,-9,-2,-37,24
222717779085,-34,-112,-5,12,17,18,-2,9
222717779085,3,7,43,0,-18,9,72,-27
222717800151,-9,61,15,32,57,21,-6,62
222717800151,-43,-36,-15,-17,-27,0,78,44
222717801592,-18,-8,-5,13,10,12,-15,-5
222717801592,-15,27,-1,-1,-12,-31,-118,-90
222717815001,13,-80,-7,9,36,9,-88,-19
222717815001,-32,-46,-33,-32,-26,-4,27,-6
222717816599,57,87,13,4,12,0,8,62
222717816599,-31,-31,7,23,47,37,19,17
222717837602,68,8,-2,-10,-19,-16,25,55
222717837602,0,-51,-20,6,2,0,-36,11
222717839080,-34,26,-18,-49,-64,-14,13,-78
222717839080,51,116,69,61,77,26,20,18
222717860154,-5,41,34,13,-39,-17,18,24
222717860154,38,-58,12,1,30,28,6,-3
222717861651,-1,4,-29,-24,-47,-21,30,71
222717861651,-4,-22,-41,-33,-27,-9,-41,-94
